created_at,entry_id,humidity,temperature,sound,gas
14-11-2024 08:33,1,70.6,23.2,0,222.71881
14-11-2024 08:33,2,69.8,23.3,0,262.73993
14-11-2024 08:34,3,69.2,23.5,0,248.62215
14-11-2024 08:34,4,69.3,23.6,0,75.13969
14-11-2024 08:35,5,68,23,0,95.42857
14-11-2024 08:35,6,69.9,23.1,0,81.0883
14-11-2024 08:36,7,69.7,23.2,0,115.97254
14-11-2024 08:36,8,70.5,23.4,0,89.416
14-11-2024 08:37,9,70,23.5,0,97.52
14-11-2024 08:38,10,69.1,23.5,0,133.5042
14-11-2024 08:38,11,69.3,23.6,0,140.93736
14-11-2024 08:39,12,68.2,23.8,0,98.58266
14-11-2024 08:39,13,67.9,23.9,0,58.42127
14-11-2024 08:40,14,67.8,24.2,0,92.37411
14-11-2024 08:40,15,67.6,24.4,0,69.6159
14-11-2024 08:41,16,66.5,24.6,0,88.45081
14-11-2024 08:41,17,65.5,24.6,0,67.37074
14-11-2024 08:42,18,66.5,24.6,0,48.95874
14-11-2024 08:43,19,65.1,24.7,0,70.38021
14-11-2024 08:45,20,65.3,24.6,0,87.49583
14-11-2024 08:45,21,64.8,24.6,0,59.71974
14-11-2024 08:46,22,65.1,24.7,0,56.52401
14-11-2024 08:46,23,64.7,24.8,0,69.6159
14-11-2024 08:47,24,64.1,24.8,0,57.7822
14-11-2024 08:47,25,64.3,24.8,0,54.68557
14-11-2024 08:48,26,64.7,24.8,0,78.48475
14-11-2024 08:48,27,64.9,24.8,0,57.7822
14-11-2024 08:49,28,64.4,24.7,0,68.11124
14-11-2024 08:49,29,64.3,24.8,0,59.71974
14-11-2024 08:50,30,64.4,24.8,0,61.04577
14-11-2024 08:50,31,64.2,24.8,0,65.91294
14-11-2024 08:51,32,63.8,24.8,0,55.29195
14-11-2024 08:51,33,63.2,25,0,72.72222
14-11-2024 08:52,34,63.3,25.1,0,64.48553
14-11-2024 08:53,35,62.8,25,0,69.6159
14-11-2024 08:53,36,62.6,24.8,0,62.4
14-11-2024 08:54,37,63.1,24.8,0,59.71974
14-11-2024 08:54,38,63.8,24.8,0,59.0671
14-11-2024 08:55,39,63.9,25,0,69.6159
14-11-2024 08:55,40,63.6,25.2,0,69.6159
14-11-2024 08:56,41,63.4,25.3,0,71.93329
14-11-2024 08:56,42,63.4,25.3,0,63.08787
14-11-2024 08:57,43,63.2,25.3,0,60.37928
14-11-2024 08:57,44,62.4,25.5,0,60.37928
14-11-2024 08:58,45,62,25.8,0,61.71933
14-11-2024 08:58,46,61.6,25.8,0,72.72222
14-11-2024 08:59,47,61.6,26,0,70.38021
14-11-2024 08:59,48,61.1,26,0,65.19547
14-11-2024 09:00,49,60.6,26,0,58.42127
14-11-2024 09:00,50,61.5,26.2,0,69.6159
14-11-2024 09:01,51,60.6,26.4,0,65.91294
14-11-2024 09:02,52,59.4,26.3,0,41.88487
14-11-2024 09:02,53,60.1,26,0,63.08787
